Medida_1,Medida_2,Medida_3,Medida_4,Medida_5,Medida_6,Medida_7,Desvio_1,Desvio_2,Desvio_3,Desvio_4,Desvio_5,Desvio_6,Desvio_7
7.7666,14.7869,16.7651,13.4543,9.7395,19.8783,10.6858,0.0393,0.5527,0.0409,0.0438,0.0167,0.0434,0.0563
7.7672,15.9959,16.7293,13.4414,9.743,19.8936,12.8909,0.0437,0.29,0.0574,0.0325,0.0204,0.0485,1.1698
7.7625,15.5345,16.873,13.4748,9.7471,19.8742,12.0982,0.0349,0.2595,0.384,0.0394,0.0139,0.0273,1.2926
7.7379,15.4987,17.1843,13.4455,9.7688,19.8965,14.0095,0.0351,0.3249,0.652,0.0391,0.0261,0.0333,0.6169
7.7526,15.205,17.2224,13.4701,9.7624,19.8895,14.2335,0.0357,0.2559,0.6802,0.0308,0.0136,0.0317,0.0187
7.7795,15.4729,16.8777,13.4607,9.7688,19.8871,14.0066,0.0453,0.0462,0.3469,0.0437,0.0109,0.0327,0.4949
7.8024,15.6582,17.1884,13.4478,9.7747,19.893,11.9534,0.0505,0.0322,0.642,0.0385,0.0148,0.0512,1.2499
7.7872,16.445,16.9433,13.4402,9.7976,19.8947,11.1912,0.0478,1.3335,0.4896,0.0448,0.0253,0.0359,1.1099
7.7203,17.7694,17.0805,13.4619,9.7823,19.8959,12.7308,0.034,0.7494,0.6026,0.0288,0.0134,0.0288,1.0047
7.8417,17.6979,17.0219,13.4625,9.77,19.8783,10.7808,0.0458,0.0472,0.576,0.034,0.0141,0.0339,0.024
7.7678,15.4881,18.3264,13.4215,9.7342,19.8619,11.8115,0.0308,0.081,0.7626,0.0467,0.0127,0.0488,0.9391
7.8212,15.6007,16.7598,13.4062,9.7442,19.8637,10.8212,0.041,0.0419,0.0663,0.0431,0.0177,0.0215,0.6872
7.8411,16.9146,17.3162,13.4045,9.7688,19.8496,10.8083,0.0357,0.3335,0.6846,0.0392,0.0215,0.0447,0.0455
7.8669,15.1153,17.5009,13.3962,9.7536,19.8513,10.9215,0.0227,0.0497,0.6632,0.0453,0.0264,0.0262,0.0276
7.8821,15.1592,16.8413,13.3816,9.6979,19.8326,11.6655,0.0296,0.345,0.4134,0.0323,0.02,0.0481,0.6604
7.905,15.8692,16.9697,13.3722,9.719,19.8115,12.131,0.0354,0.3125,0.4931,0.032,0.0174,0.0415,0.4566
7.8388,14.6462,17.1245,13.3634,9.7184,19.8173,11.6473,0.0464,0.0534,0.5953,0.0397,0.0182,0.0346,0.5972
7.8511,15.2448,17.461,13.3417,9.6885,19.822,10.9297,0.041,0.206,0.6889,0.0327,0.0228,0.0321,0.5688
7.8593,16.1383,16.8542,13.3417,9.6821,19.8033,11.8097,0.056,0.1161,0.3939,0.0307,0.0155,0.0414,0.4866
7.8745,17.5044,16.8947,13.3282,9.6967,19.7622,11.5787,0.0399,0.6631,0.5556,0.0272,0.0143,0.0389,0.0271
7.8945,17.8978,16.9334,13.3271,9.6721,19.7634,11.3964,0.0573,0.42,0.6244,0.0263,0.0186,0.0449,0.2122
7.8616,17.5478,16.7809,13.303,9.6615,19.757,10.6606,0.0332,0.0524,0.331,0.0281,0.0183,0.0357,0.0366
7.8247,15.5726,16.7592,13.3001,9.6633,19.7575,11.4539,0.0488,0.714,0.2804,0.0306,0.0148,0.0453,0.7039
7.8358,16.3013,16.7358,13.2972,9.6909,19.737,10.8078,0.0573,0.8102,0.4062,0.0328,0.0198,0.0368,0.5881
7.8804,17.1116,16.6801,13.2819,9.6715,19.7411,12.4324,0.0481,0.6951,0.2474,0.0331,0.0232,0.0359,0.4835
7.9126,17.4159,16.6385,13.2462,9.6551,19.6989,12.4253,0.0374,0.43,0.2233,0.0332,0.0122,0.0326,1.0703
8.0064,15.9595,16.5628,13.245,9.6422,19.6889,10.979,0.0836,0.2418,0.1959,0.0324,0.0169,0.0409,0.3093
8.0563,16.3095,16.4866,13.2385,9.6281,19.7013,10.6442,0.0693,0.7782,0.0273,0.0369,0.0234,0.0293,0.0503
7.9982,16.2996,16.5581,13.2303,9.6182,19.7106,10.9532,0.0557,0.5744,0.1898,0.047,0.0198,0.0362,0.4478
8.112,17.5208,16.6068,13.1922,9.6141,19.659,11.6374,0.0525,0.5255,0.2235,0.0241,0.0162,0.0419,0.1896
8.0657,19.0194,16.7364,13.1993,9.6182,19.6503,12.1715,0.0529,0.4728,0.3259,0.047,0.0206,0.0399,0.7431
8.078,18.0719,16.5036,13.2016,9.6135,19.6637,10.8154,0.0491,0.6921,0.1632,0.0388,0.024,0.032,0.4064
8.0721,16.0486,16.5464,13.1805,9.5589,19.6262,11.1056,0.0257,0.3236,0.209,0.0444,0.0141,0.0572,0.6642
8.0316,16.4931,16.5681,13.1623,9.5666,19.6321,11.886,0.0295,0.8051,0.2509,0.0381,0.024,0.0377,1.2966
8.0369,19.088,16.4614,13.1641,9.5361,19.6239,13.2163,0.0329,0.3229,0.143,0.0285,0.0265,0.041,0.7266
8.0727,17.5542,16.4637,13.1459,9.5179,19.6051,12.6077,0.0285,1.1826,0.1324,0.0309,0.0261,0.0327,0.4876
8.0539,16.1413,16.4878,13.143,9.505,19.6104,11.4755,0.0302,0.4224,0.1702,0.0322,0.0231,0.0357,0.9908
8.1131,17.5367,16.4462,13.1295,9.471,19.5975,11.985,0.0271,0.184,0.1403,0.0326,0.0144,0.0328,1.1716
8.119,19.0135,16.4186,13.1154,9.4534,19.5828,11.3454,0.0259,0.6453,0.143,0.0392,0.0254,0.033,0.6808
8.1219,17.787,16.4075,13.106,9.4569,19.5465,11.2082,0.0293,0.9448,0.0468,0.032,0.0136,0.0339,0.3915
8.1436,16.0187,16.3817,13.0855,9.454,19.5394,11.9088,0.0212,0.2799,0.0794,0.039,0.0262,0.041,0.7175
8.1149,18.4167,16.4022,13.0855,9.4347,19.5301,12.1562,0.0233,1.0668,0.0524,0.0195,0.0167,0.0339,0.9289
8.0938,19.183,16.3582,13.0691,9.4581,19.5195,13.16,0.0268,0.02,0.0857,0.0462,0.0146,0.0401,0.9269
8.1014,17.1954,16.3447,13.0574,9.4429,19.5072,11.74,0.0309,1.0426,0.0946,0.0268,0.0124,0.0382,0.459
8.102,14.8684,16.3787,13.0779,9.4493,19.5095,11.55,0.0214,0.0844,0.0624,0.0398,0.0118,0.0369,0.4554
8.1301,14.9077,16.3805,13.0456,9.4487,19.4884,11.3847,0.0328,0.1238,0.0386,0.0341,0.0112,0.0325,0.417
8.1665,15.6177,16.3963,13.0275,9.4135,19.462,11.455,0.0244,0.1627,0.0823,0.0278,0.0204,0.033,0.1768
8.1495,15.4958,16.377,13.0234,9.4147,19.4738,11.3829,0.0314,0.0476,0.0914,0.0369,0.014,0.0412,0.4749
8.1612,15.6482,16.3576,13.0052,9.3971,19.4591,11.5242,0.0227,0.3775,0.0905,0.0385,0.0211,0.0346,0.4166
8.1489,15.4108,16.4233,12.9888,9.403,19.4497,11.5711,0.0241,0.069,0.0956,0.0314,0.0232,0.0318,0.3598
8.1425,15.9314,16.4022,12.997,9.3766,19.4456,11.6802,0.0235,0.7014,0.1179,0.0311,0.021,0.0436,0.5543
8.1489,15.3656,16.425,12.9847,9.3344,19.4116,11.4439,0.0354,0.1251,0.1108,0.0259,0.0216,0.0303,0.3728
8.1688,15.4582,16.4227,12.9665,9.3449,19.4181,11.4011,0.0343,0.0624,0.0605,0.0344,0.017,0.0455,0.3928
8.1706,16.3301,16.4374,12.97,9.3584,19.4017,11.2985,0.0244,1.1227,0.0772,0.0314,0.0295,0.0352,0.0571
8.2169,15.6066,16.4086,12.9413,9.3238,19.3917,11.3079,0.0245,0.0382,0.1249,0.0378,0.0174,0.0435,0.0487
8.2445,15.6101,16.4655,12.9331,9.3297,19.3794,11.3688,0.033,0.0363,0.0873,0.036,0.0182,0.0225,0.0922
8.2374,15.647,16.4268,12.9249,9.3068,19.3665,11.2756,0.03,0.2326,0.0912,0.031,0.0204,0.0283,0.2324
8.2873,16.109,16.4321,12.9126,9.298,19.3759,10.6893,0.0419,0.7546,0.082,0.0277,0.0179,0.0384,0.1791
8.3049,15.7016,16.4561,12.8979,9.2869,19.3313,10.7691,0.0239,0.4496,0.1034,0.035,0.0169,0.0438,0.1733
8.2855,15.2917,16.4655,12.8821,9.284,19.343,10.6864,0.0286,0.1055,0.0814,0.031,0.0143,0.0316,0.0502
8.3043,15.4178,16.4743,12.8791,9.2588,19.3307,10.6911,0.0276,0.5194,0.0788,0.0349,0.0204,0.0366,0.04
8.3307,15.9044,16.4831,12.8563,9.2599,19.3049,10.6811,0.0208,0.5596,0.0333,0.0273,0.0199,0.0331,0.0734
8.3441,15.6676,16.4532,12.8463,9.2558,19.2996,10.6952,0.0235,0.095,0.0518,0.0308,0.0214,0.0399,0.0476
8.3793,15.5949,16.4485,12.8346,9.2306,19.2832,10.6835,0.0216,0.5867,0.0549,0.0389,0.0259,0.0423,0.0523
8.3946,15.0543,16.4303,12.8381,9.2453,19.2709,10.6817,0.0241,0.4693,0.0664,0.0311,0.0267,0.0316,0.0986
8.3846,15.2659,16.4415,12.8053,9.233,19.2703,10.7327,0.0262,0.5105,0.0386,0.043,0.0314,0.0284,0.0579
8.3823,14.9804,16.4391,12.7812,9.2242,19.261,10.7034,0.0263,0.2192,0.0506,0.0357,0.025,0.0326,0.0311
8.4016,15.3504,16.4444,12.7929,9.1802,19.2445,10.7433,0.0178,0.213,0.0398,0.0171,0.0241,0.0285,0.039
8.4151,15.5175,16.4637,12.7754,9.1644,19.2369,10.813,0.0231,0.3222,0.085,0.0234,0.0211,0.045,0.0311
8.4168,15.4119,16.428,12.7554,9.196,19.2316,10.9033,0.029,0.2972,0.0305,0.0307,0.0204,0.0409,0.0427
8.4514,15.5345,16.425,12.7232,9.182,19.2193,10.891,0.026,0.8252,0.0322,0.0331,0.0185,0.0391,0.0478
8.4485,16.3336,16.4239,12.7419,9.182,19.2123,10.7562,0.0169,0.8453,0.0361,0.0254,0.0235,0.0326,0.0572
8.4585,15.5532,16.411,12.7044,9.1591,19.19,10.728,0.0168,0.2627,0.0293,0.0331,0.0128,0.0452,0.0293
8.4831,16.0129,16.4145,12.705,9.1861,19.1795,10.7151,0.0155,0.3714,0.0339,0.0227,0.0224,0.0337,0.0356
8.4626,16.5001,16.4057,12.6974,9.1655,19.1683,10.7614,0.0187,0.9518,0.0338,0.0261,0.024,0.0285,0.023
8.4731,18.0479,16.4233,12.6733,9.1755,19.1625,10.7931,0.0195,0.7313,0.0373,0.0395,0.0132,0.0288,0.0432
8.5013,16.0826,16.408,12.6628,9.1714,19.146,10.772,0.0174,0.7829,0.0289,0.0335,0.0147,0.0332,0.0436
8.5224,17.0143,16.4192,12.647,9.1356,19.1296,10.6969,0.0263,0.2456,0.0321,0.0391,0.0207,0.0363,0.0462
8.506,17.1444,16.4121,12.6399,9.1222,19.1191,10.7515,0.0189,0.7023,0.0227,0.032,0.0246,0.0428,0.0323
8.5505,16.7557,16.4075,12.6364,9.0958,19.1138,10.7825,0.0302,0.3167,0.0243,0.0312,0.0187,0.0332,0.021
